cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.12, 11
2, 8, 8, 1, 0, 0.0995, 8, 4, 0.12, 17
3, 8, 8, 0, 0, 0.0990025, 16, 5.33333, 0.12, 15
4, 3, 3, 0, 0, 0.0985075, 19, 4.75, 0.12, 25
5, 0, 0, 1, 0, 0.098015, 19, 3.8, 0.12, 25
6, 8, 8, 1, 0, 0.0975249, 27, 4.5, 0.12, 25
7, 8, 8, 1, 0, 0.0975249, 35, 5, 0.12, 26
8, 8, 8, 1, 0, 0.0975249, 43, 5.375, 0.13, 25
9, 8, 8, 1, 0, 0.0975249, 51, 5.66667, 0.12, 24
10, 8, 8, 1, 0, 0.0975249, 59, 5.9, 0.12, 24
11, 8, 8, 0, 0, 0.0975249, 67, 6.09091, 0.13, 25
12, 4, 4, 1, 0, 0.0975249, 71, 5.91667, 0.12, 24
13, 8, 8, 1, 0, 0.0975249, 79, 6.07692, 0.12, 26
14, 8, 8, 1, 0, 0.0975249, 87, 6.21429, 0.12, 24
15, 8, 8, 1, 0, 0.0975249, 95, 6.33333, 0.12, 25
16, 8, 8, 1, 0, 0.0975249, 103, 6.4375, 0.13, 26
17, 8, 8, 1, 0, 0.0975249, 111, 6.52941, 0.12, 25
18, 8, 8, 1, 0, 0.0975249, 119, 6.61111, 0.12, 24
19, 8, 8, 1, 0, 0.0975249, 127, 6.68421, 0.13, 24
20, 8, 8, 1, 0, 0.0975249, 135, 6.75, 0.12, 24
21, 8, 8, 1, 0, 0.0975249, 143, 6.80952, 0.13, 25
22, 8, 8, 1, 0, 0.0975249, 151, 6.86364, 0.12, 26
23, 8, 8, 1, 0, 0.0975249, 159, 6.91304, 0.12, 25
24, 8, 8, 1, 0, 0.0975249, 167, 6.95833, 0.12, 26
25, 8, 8, 1, 0, 0.0975249, 175, 7, 0.12, 24
26, 8, 8, 1, 0, 0.0975249, 183, 7.03846, 0.13, 25
27, 8, 8, 1, 0, 0.0975249, 191, 7.07407, 0.12, 24
28, 8, 8, 1, 0, 0.0975249, 199, 7.10714, 0.12, 24
29, 8, 8, 1, 0, 0.0975249, 207, 7.13793, 0.13, 26
30, 8, 8, 0, 0, 0.0975249, 215, 7.16667, 0.12, 24
31, 3, 3, 1, 0, 0.0975249, 218, 7.03226, 0.12, 28
32, 8, 8, 1, 0, 0.0975249, 226, 7.0625, 0.12, 24
33, 8, 8, 1, 0, 0.0975249, 234, 7.09091, 0.12, 25
34, 8, 8, 1, 0, 0.0975249, 242, 7.11765, 0.13, 24
35, 8, 8, 1, 0, 0.0975249, 250, 7.14286, 0.12, 25
36, 8, 8, 1, 0, 0.0975249, 258, 7.16667, 0.12, 24
37, 8, 8, 0, 0, 0.0975249, 266, 7.18919, 0.13, 24
38, 3, 3, 0, 0, 0.0975249, 269, 7.07895, 0.12, 24
39, 0, 0, 1, 0, 0.0975249, 269, 6.89744, 0.12, 25
40, 8, 8, 0, 0, 0.0975249, 277, 6.925, 0.12, 25
41, 4, 4, 1, 0, 0.0975249, 281, 6.85366, 0.13, 25
42, 8, 8, 1, 0, 0.0975249, 289, 6.88095, 0.12, 24
43, 8, 8, 1, 0, 0.0975249, 297, 6.90698, 0.12, 25
44, 8, 8, 0, 0, 0.0975249, 305, 6.93182, 0.13, 24
45, 3, 3, 1, 0, 0.0975249, 308, 6.84444, 0.12, 24
46, 8, 8, 1, 0, 0.0975249, 316, 6.86957, 0.12, 25
47, 8, 8, 1, 0, 0.0975249, 324, 6.89362, 0.12, 27
48, 8, 8, 1, 0, 0.0975249, 332, 6.91667, 0.12, 25
49, 8, 8, 0, 0, 0.0975249, 340, 6.93878, 0.12, 25
50, 3, 3, 1, 0, 0.0975249, 343, 6.86, 0.12, 24
51, 8, 8, 1, 0, 0.0975249, 351, 6.88235, 0.12, 26
52, 8, 8, 1, 0, 0.0975249, 359, 6.90385, 0.12, 25
53, 8, 8, 1, 0, 0.0975249, 367, 6.92453, 0.13, 26
54, 8, 8, 1, 0, 0.0975249, 375, 6.94444, 0.12, 26
55, 8, 8, 1, 0, 0.0975249, 383, 6.96364, 0.12, 24
56, 8, 8, 0, 0, 0.0975249, 391, 6.98214, 0.12, 25
57, 4, 4, 1, 0, 0.0975249, 395, 6.92982, 0.13, 24
58, 8, 8, 0, 0, 0.0975249, 403, 6.94828, 0.12, 24
59, 3, 3, 1, 0, 0.0975249, 406, 6.88136, 0.12, 25
60, 8, 8, 1, 0, 0.0975249, 414, 6.9, 0.12, 25
61, 8, 8, 1, 0, 0.0975249, 422, 6.91803, 0.13, 24
62, 8, 8, 0, 0, 0.0975249, 430, 6.93548, 0.12, 25
63, 3, 3, 1, 0, 0.0975249, 433, 6.87302, 0.12, 24
64, 8, 8, 1, 0, 0.0975249, 441, 6.89062, 0.12, 25
65, 8, 8, 1, 0, 0.0975249, 449, 6.90769, 0.13, 24
66, 8, 8, 1, 0, 0.0975249, 457, 6.92424, 0.12, 24
67, 8, 8, 1, 0, 0.0975249, 465, 6.9403, 0.12, 25
68, 8, 8, 1, 0, 0.0975249, 473, 6.95588, 0.13, 25
69, 8, 8, 0, 0, 0.0975249, 481, 6.97101, 0.12, 26
70, 3, 3, 1, 0, 0.0975249, 484, 6.91429, 0.12, 24
71, 8, 8, 0, 0, 0.0975249, 492, 6.92958, 0.12, 25
72, 4, 4, 0, 0, 0.0975249, 496, 6.88889, 0.12, 24
