cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.15, 7
2, 155, 155, 1, 0, 0.0995, 155, 77.5, 0.16, 24
3, 156, 156, 1, 0, 0.0990025, 311, 103.667, 0.16, 26
4, 156, 156, 1, 0, 0.0985075, 467, 116.75, 0.16, 25
5, 156, 156, 1, 0, 0.098015, 623, 124.6, 0.16, 25
6, 157, 157, 0, 0, 0.0975249, 780, 130, 0.16, 26
7, 60, 60, 1, 0, 0.0975249, 840, 120, 0.16, 28
8, 151, 151, 1, 0, 0.0975249, 991, 123.875, 0.16, 26
9, 156, 156, 1, 0, 0.0975249, 1147, 127.444, 0.16, 27
10, 157, 157, 1, 0, 0.0975249, 1304, 130.4, 0.16, 27
11, 157, 157, 1, 0, 0.0975249, 1461, 132.818, 0.16, 26
12, 157, 157, 0, 0, 0.0975249, 1618, 134.833, 0.17, 27
13, 62, 62, 1, 0, 0.0975249, 1680, 129.231, 0.16, 27
14, 152, 152, 1, 0, 0.0975249, 1832, 130.857, 0.16, 27
15, 157, 157, 1, 0, 0.0975249, 1989, 132.6, 0.16, 26
16, 157, 157, 1, 0, 0.0975249, 2146, 134.125, 0.16, 26
17, 157, 157, 0, 0, 0.0975249, 2303, 135.471, 0.16, 26
18, 62, 62, 1, 0, 0.0975249, 2365, 131.389, 0.16, 27
19, 151, 151, 1, 0, 0.0975249, 2516, 132.421, 0.16, 28
20, 157, 157, 1, 0, 0.0975249, 2673, 133.65, 0.16, 27
21, 157, 157, 1, 0, 0.0975249, 2830, 134.762, 0.16, 27
22, 157, 157, 1, 0, 0.0975249, 2987, 135.773, 0.16, 25
23, 157, 157, 1, 0, 0.0975249, 3144, 136.696, 0.16, 26
24, 157, 157, 1, 0, 0.0975249, 3301, 137.542, 0.16, 27
25, 157, 157, 1, 0, 0.0975249, 3458, 138.32, 0.16, 26
26, 157, 157, 0, 0, 0.0975249, 3615, 139.038, 0.17, 27
27, 62, 62, 1, 0, 0.0975249, 3677, 136.185, 0.16, 28
28, 152, 152, 1, 0, 0.0975249, 3829, 136.75, 0.16, 25
29, 157, 157, 1, 0, 0.0975249, 3986, 137.448, 0.16, 25
30, 157, 157, 1, 0, 0.0975249, 4143, 138.1, 0.16, 28
31, 157, 157, 1, 0, 0.0975249, 4300, 138.71, 0.16, 27
32, 157, 157, 1, 0, 0.0975249, 4457, 139.281, 0.16, 27
33, 157, 157, 1, 0, 0.0975249, 4614, 139.818, 0.16, 27
34, 157, 157, 1, 0, 0.0975249, 4771, 140.324, 0.16, 27
35, 157, 157, 1, 0, 0.0975249, 4928, 140.8, 0.17, 27
36, 157, 157, 1, 0, 0.0975249, 5085, 141.25, 0.16, 25
37, 157, 157, 0, 0, 0.0975249, 5242, 141.676, 0.16, 27
38, 62, 62, 1, 0, 0.0975249, 5304, 139.579, 0.16, 27
39, 152, 152, 1, 0, 0.0975249, 5456, 139.897, 0.16, 27
40, 157, 157, 1, 0, 0.0975249, 5613, 140.325, 0.16, 27
41, 157, 157, 1, 0, 0.0975249, 5770, 140.732, 0.16, 25
42, 157, 157, 1, 0, 0.0975249, 5927, 141.119, 0.16, 26
43, 157, 157, 1, 0, 0.0975249, 6084, 141.488, 0.16, 27
44, 157, 157, 1, 0, 0.0975249, 6241, 141.841, 0.16, 25
45, 157, 157, 1, 0, 0.0975249, 6398, 142.178, 0.16, 26
46, 157, 157, 1, 0, 0.0975249, 6555, 142.5, 0.16, 27
47, 157, 157, 1, 0, 0.0975249, 6712, 142.809, 0.17, 26
48, 157, 157, 1, 0, 0.0975249, 6869, 143.104, 0.16, 27
49, 157, 157, 1, 0, 0.0975249, 7026, 143.388, 0.16, 27
50, 157, 157, 0, 0, 0.0975249, 7183, 143.66, 0.16, 28
51, 62, 62, 1, 0, 0.0975249, 7245, 142.059, 0.16, 27
52, 152, 152, 1, 0, 0.0975249, 7397, 142.25, 0.16, 28
53, 157, 157, 1, 0, 0.0975249, 7554, 142.528, 0.16, 26
54, 157, 157, 1, 0, 0.0975249, 7711, 142.796, 0.16, 27
