cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 0, 0, 0.1, 0, 0, 0.12, 12
2, 16, 16, 1, 0, 0.0995, 16, 8, 0.12, 11
3, 34, 34, 1, 0, 0.0990025, 50, 16.6667, 0.12, 20
4, 36, 36, 1, 0, 0.0985075, 86, 21.5, 0.13, 19
5, 36, 36, 1, 0, 0.098015, 122, 24.4, 0.12, 24
6, 36, 36, 1, 0, 0.0975249, 158, 26.3333, 0.13, 25
7, 36, 36, 1, 0, 0.0975249, 194, 27.7143, 0.12, 27
8, 36, 36, 1, 0, 0.0975249, 230, 28.75, 0.12, 25
9, 36, 36, 1, 0, 0.0975249, 266, 29.5556, 0.13, 25
10, 36, 36, 1, 0, 0.0975249, 302, 30.2, 0.12, 26
11, 36, 36, 1, 0, 0.0975249, 338, 30.7273, 0.13, 24
12, 36, 36, 1, 0, 0.0975249, 374, 31.1667, 0.12, 25
13, 36, 36, 1, 0, 0.0975249, 410, 31.5385, 0.12, 26
14, 36, 36, 1, 0, 0.0975249, 446, 31.8571, 0.13, 26
15, 36, 36, 1, 0, 0.0975249, 482, 32.1333, 0.12, 26
16, 36, 36, 1, 0, 0.0975249, 518, 32.375, 0.13, 25
17, 36, 36, 1, 0, 0.0975249, 554, 32.5882, 0.12, 24
18, 36, 36, 1, 0, 0.0975249, 590, 32.7778, 0.12, 25
19, 36, 36, 1, 0, 0.0975249, 626, 32.9474, 0.13, 25
20, 36, 36, 1, 0, 0.0975249, 662, 33.1, 0.12, 25
21, 36, 36, 1, 0, 0.0975249, 698, 33.2381, 0.13, 26
22, 36, 36, 1, 0, 0.0975249, 734, 33.3636, 0.12, 25
23, 36, 36, 1, 0, 0.0975249, 770, 33.4783, 0.12, 25
24, 36, 36, 1, 0, 0.0975249, 806, 33.5833, 0.13, 24
25, 36, 36, 1, 0, 0.0975249, 842, 33.68, 0.12, 26
26, 36, 36, 1, 0, 0.0975249, 878, 33.7692, 0.13, 26
27, 36, 36, 1, 0, 0.0975249, 914, 33.8519, 0.12, 26
28, 36, 36, 1, 0, 0.0975249, 950, 33.9286, 0.12, 26
29, 36, 36, 1, 0, 0.0975249, 986, 34, 0.13, 25
30, 36, 36, 1, 0, 0.0975249, 1022, 34.0667, 0.12, 24
31, 36, 36, 1, 0, 0.0975249, 1058, 34.129, 0.13, 24
32, 36, 36, 1, 0, 0.0975249, 1094, 34.1875, 0.12, 25
33, 36, 36, 1, 0, 0.0975249, 1130, 34.2424, 0.12, 25
34, 36, 36, 1, 0, 0.0975249, 1166, 34.2941, 0.13, 24
35, 36, 36, 1, 0, 0.0975249, 1202, 34.3429, 0.12, 25
36, 36, 36, 1, 0, 0.0975249, 1238, 34.3889, 0.13, 26
37, 36, 36, 1, 0, 0.0975249, 1274, 34.4324, 0.12, 25
38, 36, 36, 1, 0, 0.0975249, 1310, 34.4737, 0.12, 25
39, 36, 36, 1, 0, 0.0975249, 1346, 34.5128, 0.13, 25
40, 36, 36, 1, 0, 0.0975249, 1382, 34.55, 0.12, 25
41, 36, 36, 1, 0, 0.0975249, 1418, 34.5854, 0.13, 27
42, 36, 36, 1, 0, 0.0975249, 1454, 34.619, 0.12, 27
43, 36, 36, 1, 0, 0.0975249, 1490, 34.6512, 0.12, 26
44, 36, 36, 1, 0, 0.0975249, 1526, 34.6818, 0.13, 25
45, 36, 36, 1, 0, 0.0975249, 1562, 34.7111, 0.12, 26
46, 36, 36, 1, 0, 0.0975249, 1598, 34.7391, 0.13, 26
47, 36, 36, 1, 0, 0.0975249, 1634, 34.766, 0.12, 25
48, 36, 36, 1, 0, 0.0975249, 1670, 34.7917, 0.12, 24
49, 36, 36, 1, 0, 0.0975249, 1706, 34.8163, 0.13, 26
50, 36, 36, 1, 0, 0.0975249, 1742, 34.84, 0.12, 26
51, 36, 36, 1, 0, 0.0975249, 1778, 34.8627, 0.13, 25
52, 36, 36, 1, 0, 0.0975249, 1814, 34.8846, 0.12, 24
53, 36, 36, 1, 0, 0.0975249, 1850, 34.9057, 0.12, 26
54, 36, 36, 1, 0, 0.0975249, 1886, 34.9259, 0.13, 26
55, 36, 36, 1, 0, 0.0975249, 1922, 34.9455, 0.12, 25
56, 36, 36, 1, 0, 0.0975249, 1958, 34.9643, 0.13, 25
57, 36, 36, 1, 0, 0.0975249, 1994, 34.9825, 0.12, 25
58, 36, 36, 1, 0, 0.0975249, 2030, 35, 0.12, 25
59, 36, 36, 1, 0, 0.0975249, 2066, 35.0169, 0.13, 24
60, 36, 36, 1, 0, 0.0975249, 2102, 35.0333, 0.12, 26
61, 36, 36, 1, 0, 0.0975249, 2138, 35.0492, 0.13, 25
62, 36, 36, 1, 0, 0.0975249, 2174, 35.0645, 0.12, 26
63, 36, 36, 1, 0, 0.0975249, 2210, 35.0794, 0.12, 25
64, 36, 36, 1, 0, 0.0975249, 2246, 35.0938, 0.13, 24
65, 36, 36, 1, 0, 0.0975249, 2282, 35.1077, 0.12, 26
66, 36, 36, 1, 0, 0.0975249, 2318, 35.1212, 0.13, 25
67, 36, 36, 1, 0, 0.0975249, 2354, 35.1343, 0.12, 24
68, 36, 36, 1, 0, 0.0975249, 2390, 35.1471, 0.12, 25
69, 36, 36, 1, 0, 0.0975249, 2426, 35.1594, 0.13, 26
70, 36, 36, 1, 0, 0.0975249, 2462, 35.1714, 0.12, 25
71, 36, 36, 1, 0, 0.0975249, 2498, 35.1831, 0.13, 27
72, 36, 36, 1, 0, 0.0975249, 2534, 35.1944, 0.12, 24
73, 36, 36, 1, 0, 0.0975249, 2570, 35.2055, 0.12, 25
74, 36, 36, 1, 0, 0.0975249, 2606, 35.2162, 0.13, 26
75, 36, 36, 1, 0, 0.0975249, 2642, 35.2267, 0.12, 26
76, 36, 36, 1, 0, 0.0975249, 2678, 35.2368, 0.13, 24
77, 36, 36, 1, 0, 0.0975249, 2714, 35.2468, 0.12, 25
78, 36, 36, 1, 0, 0.0975249, 2750, 35.2564, 0.12, 25
79, 36, 36, 1, 0, 0.0975249, 2786, 35.2658, 0.13, 25
80, 36, 36, 1, 0, 0.0975249, 2822, 35.275, 0.12, 24
81, 36, 36, 1, 0, 0.0975249, 2858, 35.284, 0.13, 26
82, 36, 36, 1, 0, 0.0975249, 2894, 35.2927, 0.12, 25
83, 36, 36, 1, 0, 0.0975249, 2930, 35.3012, 0.12, 25
84, 36, 36, 1, 0, 0.0975249, 2966, 35.3095, 0.13, 24
85, 36, 36, 1, 0, 0.0975249, 3002, 35.3176, 0.12, 25
86, 36, 36, 1, 0, 0.0975249, 3038, 35.3256, 0.13, 25
87, 36, 36, 1, 0, 0.0975249, 3074, 35.3333, 0.12, 24
88, 36, 36, 1, 0, 0.0975249, 3110, 35.3409, 0.13, 25
89, 36, 36, 1, 0, 0.0975249, 3146, 35.3483, 0.12, 26
90, 36, 36, 1, 0, 0.0975249, 3182, 35.3556, 0.13, 26
91, 36, 36, 1, 0, 0.0975249, 3218, 35.3626, 0.12, 25
92, 36, 36, 1, 0, 0.0975249, 3254, 35.3696, 0.13, 26
93, 36, 36, 1, 0, 0.0975249, 3290, 35.3763, 0.12, 24
94, 36, 36, 1, 0, 0.0975249, 3326, 35.383, 0.13, 24
95, 36, 36, 1, 0, 0.0975249, 3362, 35.3895, 0.12, 26
96, 36, 36, 1, 0, 0.0975249, 3398, 35.3958, 0.12, 25
97, 36, 36, 1, 0, 0.0975249, 3434, 35.4021, 0.13, 26
98, 36, 36, 1, 0, 0.0975249, 3470, 35.4082, 0.12, 26
99, 36, 36, 1, 0, 0.0975249, 3506, 35.4141, 0.13, 25
100, 36, 36, 1, 0, 0.0975249, 3542, 35.42, 0.12, 24
101, 36, 36, 1, 0, 0.0975249, 3578, 35.4257, 0.13, 24
