cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.08, 2
2, 4, 4, 1, 1, 0.0995, 4, 2, 0, 14
3, 4, 4, 1, 0, 0.0990025, 8, 2.66667, 0.09, 14
4, 4, 4, 0, 1, 0.0985075, 12, 3, 0, 14
5, 2, 2, 1, 0, 0.098015, 14, 2.8, 0.09, 17
6, 4, 4, 0, 0, 0.0975249, 18, 3, 0.08, 22
7, 1, 1, 1, 0, 0.0975249, 19, 2.71429, 0.09, 25
8, 4, 4, 0, 0, 0.0975249, 23, 2.875, 0.08, 22
9, 1, 1, 1, 0, 0.0975249, 24, 2.66667, 0.09, 22
10, 4, 4, 1, 0, 0.0975249, 28, 2.8, 0.08, 22
11, 4, 4, 0, 0, 0.0975249, 32, 2.90909, 0.09, 22
12, 2, 2, 1, 0, 0.0975249, 34, 2.83333, 0.08, 21
13, 4, 4, 0, 0, 0.0975249, 38, 2.92308, 0.08, 24
14, 2, 2, 1, 0, 0.0975249, 40, 2.85714, 0.08, 25
15, 4, 4, 1, 0, 0.0975249, 44, 2.93333, 0.09, 23
16, 4, 4, 1, 0, 0.0975249, 48, 3, 0.09, 22
17, 4, 4, 1, 0, 0.0975249, 52, 3.05882, 0.08, 21
18, 4, 4, 1, 0, 0.0975249, 56, 3.11111, 0.09, 23
19, 4, 4, 1, 0, 0.0975249, 60, 3.15789, 0.08, 25
20, 4, 4, 1, 0, 0.0975249, 64, 3.2, 0.09, 22
21, 4, 4, 1, 0, 0.0975249, 68, 3.2381, 0.08, 22
22, 4, 4, 1, 0, 0.0975249, 72, 3.27273, 0.09, 23
23, 4, 4, 0, 0, 0.0975249, 76, 3.30435, 0.09, 21
24, 2, 2, 1, 0, 0.0975249, 78, 3.25, 0.08, 24
25, 4, 4, 1, 0, 0.0975249, 82, 3.28, 0.09, 22
26, 4, 4, 1, 0, 0.0975249, 86, 3.30769, 0.08, 22
27, 4, 4, 1, 0, 0.0975249, 90, 3.33333, 0.1, 21
28, 4, 4, 0, 0, 0.0975249, 94, 3.35714, 0.08, 21
29, 1, 1, 1, 0, 0.0975249, 95, 3.27586, 0.09, 23
30, 4, 4, 0, 0, 0.0975249, 99, 3.3, 0.08, 23
31, 2, 2, 1, 0, 0.0975249, 101, 3.25806, 0.09, 23
32, 4, 4, 0, 0, 0.0975249, 105, 3.28125, 0.08, 21
33, 2, 2, 1, 0, 0.0975249, 107, 3.24242, 0.09, 23
34, 4, 4, 0, 0, 0.0975249, 111, 3.26471, 0.08, 22
35, 2, 2, 1, 0, 0.0975249, 113, 3.22857, 0.09, 22
36, 4, 4, 0, 0, 0.0975249, 117, 3.25, 0.08, 21
37, 2, 2, 0, 0, 0.0975249, 119, 3.21622, 0.09, 25
38, 0, 0, 0, 0, 0.0975249, 119, 3.13158, 0.09, 21
39, 0, 0, 1, 0, 0.0975249, 119, 3.05128, 0.08, 22
40, 4, 4, 0, 0, 0.0975249, 123, 3.075, 0.09, 23
41, 1, 1, 1, 0, 0.0975249, 124, 3.02439, 0.08, 22
42, 4, 4, 1, 0, 0.0975249, 128, 3.04762, 0.09, 22
43, 4, 4, 1, 0, 0.0975249, 132, 3.06977, 0.08, 21
44, 4, 4, 0, 0, 0.0975249, 136, 3.09091, 0.1, 23
45, 1, 1, 0, 0, 0.0975249, 137, 3.04444, 0.08, 23
46, 0, 0, 0, 0, 0.0975249, 137, 2.97826, 0.09, 22
47, 0, 0, 0, 0, 0.0975249, 137, 2.91489, 0.08, 21
48, 0, 0, 0, 0, 0.0975249, 137, 2.85417, 0.08, 24
49, 0, 0, 0, 0, 0.0975249, 137, 2.79592, 0.1, 21
50, 0, 0, 0, 0, 0.0975249, 137, 2.74, 0.08, 24
51, 0, 0, 0, 0, 0.0975249, 137, 2.68627, 0.09, 24
52, 0, 0, 1, 0, 0.0975249, 137, 2.63462, 0.08, 21
53, 4, 4, 1, 0, 0.0975249, 141, 2.66038, 0.08, 23
54, 4, 4, 1, 0, 0.0975249, 145, 2.68519, 0.09, 21
55, 4, 4, 0, 0, 0.0975249, 149, 2.70909, 0.09, 21
56, 1, 1, 1, 0, 0.0975249, 150, 2.67857, 0.08, 21
57, 4, 4, 1, 0, 0.0975249, 154, 2.70175, 0.09, 23
58, 4, 4, 0, 0, 0.0975249, 158, 2.72414, 0.08, 26
59, 1, 1, 1, 0, 0.0975249, 159, 2.69492, 0.09, 24
60, 4, 4, 1, 0, 0.0975249, 163, 2.71667, 0.08, 22
61, 4, 4, 0, 0, 0.0975249, 167, 2.7377, 0.1, 23
62, 2, 2, 1, 0, 0.0975249, 169, 2.72581, 0.08, 22
63, 4, 4, 1, 0, 0.0975249, 173, 2.74603, 0.08, 21
64, 4, 4, 1, 0, 0.0975249, 177, 2.76562, 0.09, 24
65, 4, 4, 1, 0, 0.0975249, 181, 2.78462, 0.09, 22
66, 4, 4, 1, 0, 0.0975249, 185, 2.80303, 0.08, 21
67, 4, 4, 0, 0, 0.0975249, 189, 2.8209, 0.09, 22
68, 1, 1, 0, 0, 0.0975249, 190, 2.79412, 0.08, 22
69, 0, 0, 0, 0, 0.0975249, 190, 2.75362, 0.09, 21
70, 0, 0, 1, 0, 0.0975249, 190, 2.71429, 0.09, 23
71, 4, 4, 0, 0, 0.0975249, 194, 2.73239, 0.08, 21
72, 2, 2, 0, 0, 0.0975249, 196, 2.72222, 0.09, 22
73, 0, 0, 1, 0, 0.0975249, 196, 2.68493, 0.08, 21
74, 4, 4, 1, 0, 0.0975249, 200, 2.7027, 0.09, 22
75, 4, 4, 0, 0, 0.0975249, 204, 2.72, 0.08, 23
76, 1, 1, 1, 0, 0.0975249, 205, 2.69737, 0.09, 24
77, 4, 4, 1, 0, 0.0975249, 209, 2.71429, 0.08, 21
78, 4, 4, 0, 0, 0.0975249, 213, 2.73077, 0.09, 21
79, 2, 2, 1, 0, 0.0975249, 215, 2.72152, 0.09, 24
80, 4, 4, 1, 0, 0.0975249, 219, 2.7375, 0.09, 22
81, 4, 4, 1, 0, 0.0975249, 223, 2.75309, 0.08, 22
82, 4, 4, 1, 0, 0.0975249, 227, 2.76829, 0.09, 24
83, 4, 4, 0, 0, 0.0975249, 231, 2.78313, 0.08, 23
84, 2, 2, 0, 0, 0.0975249, 233, 2.77381, 0.09, 21
85, 0, 0, 1, 0, 0.0975249, 233, 2.74118, 0.09, 23
86, 4, 4, 1, 0, 0.0975249, 237, 2.75581, 0.08, 24
87, 4, 4, 1, 0, 0.0975249, 241, 2.77011, 0.08, 22
88, 4, 4, 1, 0, 0.0975249, 245, 2.78409, 0.09, 21
89, 4, 4, 0, 0, 0.0975249, 249, 2.79775, 0.09, 25
90, 1, 1, 1, 0, 0.0975249, 250, 2.77778, 0.08, 23
91, 4, 4, 0, 0, 0.0975249, 254, 2.79121, 0.09, 22
92, 1, 1, 1, 0, 0.0975249, 255, 2.77174, 0.08, 21
93, 4, 4, 0, 0, 0.0975249, 259, 2.78495, 0.09, 22
94, 2, 2, 1, 0, 0.0975249, 261, 2.7766, 0.09, 22
95, 4, 4, 0, 0, 0.0975249, 265, 2.78947, 0.09, 21
96, 2, 2, 1, 0, 0.0975249, 267, 2.78125, 0.08, 22
97, 4, 4, 1, 0, 0.0975249, 271, 2.79381, 0.09, 24
