cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.12, 9
2, 78, 78, 0, 1, 0.0995, 78, 39, 0, 22
3, 33, 33, 1, 0, 0.0990025, 111, 37, 0.12, 27
4, 76, 76, 0, 0, 0.0985075, 187, 46.75, 0.12, 24
5, 33, 33, 1, 0, 0.098015, 220, 44, 0.12, 25
6, 76, 76, 1, 0, 0.0975249, 296, 49.3333, 0.12, 24
7, 78, 78, 1, 0, 0.0975249, 374, 53.4286, 0.12, 25
8, 79, 79, 1, 0, 0.0975249, 453, 56.625, 0.13, 27
9, 79, 79, 1, 0, 0.0975249, 532, 59.1111, 0.12, 27
10, 79, 79, 1, 0, 0.0975249, 611, 61.1, 0.13, 28
11, 79, 79, 1, 0, 0.0975249, 690, 62.7273, 0.12, 26
12, 79, 79, 1, 0, 0.0975249, 769, 64.0833, 0.12, 29
13, 79, 79, 1, 0, 0.0975249, 848, 65.2308, 0.12, 25
14, 79, 79, 1, 0, 0.0975249, 927, 66.2143, 0.13, 29
15, 79, 79, 1, 0, 0.0975249, 1006, 67.0667, 0.12, 27
16, 79, 79, 1, 0, 0.0975249, 1085, 67.8125, 0.12, 27
17, 79, 79, 1, 0, 0.0975249, 1164, 68.4706, 0.13, 25
18, 79, 79, 1, 0, 0.0975249, 1243, 69.0556, 0.12, 29
19, 79, 79, 1, 0, 0.0975249, 1322, 69.5789, 0.12, 24
20, 79, 79, 1, 0, 0.0975249, 1401, 70.05, 0.13, 27
21, 79, 79, 1, 0, 0.0975249, 1480, 70.4762, 0.12, 24
22, 79, 79, 1, 0, 0.0975249, 1559, 70.8636, 0.12, 26
23, 79, 79, 1, 0, 0.0975249, 1638, 71.2174, 0.13, 28
24, 80, 80, 1, 0, 0.0975249, 1718, 71.5833, 0.12, 28
25, 79, 79, 1, 0, 0.0975249, 1797, 71.88, 0.12, 28
26, 80, 80, 1, 0, 0.0975249, 1877, 72.1923, 0.13, 24
27, 80, 80, 1, 0, 0.0975249, 1957, 72.4815, 0.12, 26
28, 80, 80, 1, 0, 0.0975249, 2037, 72.75, 0.12, 25
29, 80, 80, 1, 0, 0.0975249, 2117, 73, 0.13, 24
30, 80, 80, 1, 0, 0.0975249, 2197, 73.2333, 0.12, 24
31, 80, 80, 1, 0, 0.0975249, 2277, 73.4516, 0.12, 25
32, 80, 80, 1, 0, 0.0975249, 2357, 73.6562, 0.12, 26
33, 80, 80, 1, 0, 0.0975249, 2437, 73.8485, 0.12, 27
34, 80, 80, 1, 0, 0.0975249, 2517, 74.0294, 0.12, 25
35, 80, 80, 1, 0, 0.0975249, 2597, 74.2, 0.13, 27
36, 80, 80, 1, 0, 0.0975249, 2677, 74.3611, 0.12, 25
37, 80, 80, 1, 0, 0.0975249, 2757, 74.5135, 0.12, 24
38, 80, 80, 1, 0, 0.0975249, 2837, 74.6579, 0.12, 24
39, 80, 80, 1, 0, 0.0975249, 2917, 74.7949, 0.13, 26
40, 80, 80, 1, 0, 0.0975249, 2997, 74.925, 0.12, 24
41, 80, 80, 1, 0, 0.0975249, 3077, 75.0488, 0.13, 24
42, 80, 80, 1, 0, 0.0975249, 3157, 75.1667, 0.12, 27
43, 80, 80, 1, 0, 0.0975249, 3237, 75.2791, 0.12, 24
44, 80, 80, 1, 0, 0.0975249, 3317, 75.3864, 0.12, 24
45, 80, 80, 1, 0, 0.0975249, 3397, 75.4889, 0.13, 28
46, 80, 80, 1, 0, 0.0975249, 3477, 75.587, 0.12, 27
47, 80, 80, 1, 0, 0.0975249, 3557, 75.6809, 0.13, 24
48, 80, 80, 1, 0, 0.0975249, 3637, 75.7708, 0.12, 24
49, 80, 80, 1, 0, 0.0975249, 3717, 75.8571, 0.12, 24
50, 80, 80, 1, 0, 0.0975249, 3797, 75.94, 0.12, 26
51, 80, 80, 1, 0, 0.0975249, 3877, 76.0196, 0.13, 25
52, 80, 80, 1, 0, 0.0975249, 3957, 76.0962, 0.12, 26
53, 80, 80, 1, 0, 0.0975249, 4037, 76.1698, 0.13, 25
54, 80, 80, 1, 0, 0.0975249, 4117, 76.2407, 0.12, 24
55, 80, 80, 1, 0, 0.0975249, 4197, 76.3091, 0.12, 24
56, 80, 80, 1, 0, 0.0975249, 4277, 76.375, 0.12, 24
57, 80, 80, 1, 0, 0.0975249, 4357, 76.4386, 0.13, 25
58, 80, 80, 1, 0, 0.0975249, 4437, 76.5, 0.12, 25
59, 80, 80, 1, 0, 0.0975249, 4517, 76.5593, 0.13, 25
60, 80, 80, 1, 0, 0.0975249, 4597, 76.6167, 0.12, 24
