cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.04, 3
2, 1, 1, 0, 0, 0.0995, 1, 0.5, 0.04, 7
3, 0, 0, 1, 0, 0.0990025, 1, 0.333333, 0.06, 15
4, 1, 1, 1, 0, 0.0985075, 2, 0.5, 0.04, 15
5, 1, 1, 1, 0, 0.098015, 3, 0.6, 0.05, 17
6, 1, 1, 1, 0, 0.0975249, 4, 0.666667, 0.05, 17
7, 1, 1, 1, 0, 0.0975249, 5, 0.714286, 0.05, 17
8, 1, 1, 1, 0, 0.0975249, 6, 0.75, 0.05, 17
9, 1, 1, 1, 0, 0.0975249, 7, 0.777778, 0.05, 17
10, 1, 1, 1, 0, 0.0975249, 8, 0.8, 0.05, 19
11, 1, 1, 1, 0, 0.0975249, 9, 0.818182, 0.05, 18
12, 1, 1, 1, 0, 0.0975249, 10, 0.833333, 0.05, 18
13, 1, 1, 1, 0, 0.0975249, 11, 0.846154, 0.05, 18
14, 1, 1, 1, 0, 0.0975249, 12, 0.857143, 0.05, 17
15, 1, 1, 1, 0, 0.0975249, 13, 0.866667, 0.05, 17
16, 1, 1, 1, 0, 0.0975249, 14, 0.875, 0.05, 17
17, 1, 1, 1, 0, 0.0975249, 15, 0.882353, 0.06, 17
18, 1, 1, 1, 0, 0.0975249, 16, 0.888889, 0.05, 18
19, 1, 1, 1, 0, 0.0975249, 17, 0.894737, 0.05, 17
20, 1, 1, 1, 0, 0.0975249, 18, 0.9, 0.05, 17
21, 1, 1, 1, 0, 0.0975249, 19, 0.904762, 0.05, 18
22, 1, 1, 1, 0, 0.0975249, 20, 0.909091, 0.05, 18
23, 1, 1, 1, 0, 0.0975249, 21, 0.913043, 0.04, 17
24, 1, 1, 1, 0, 0.0975249, 22, 0.916667, 0.06, 17
25, 1, 1, 1, 0, 0.0975249, 23, 0.92, 0.04, 18
26, 1, 1, 1, 0, 0.0975249, 24, 0.923077, 0.05, 18
27, 1, 1, 1, 0, 0.0975249, 25, 0.925926, 0.06, 18
28, 1, 1, 1, 0, 0.0975249, 26, 0.928571, 0.05, 21
29, 1, 1, 1, 0, 0.0975249, 27, 0.931034, 0.05, 19
30, 1, 1, 1, 0, 0.0975249, 28, 0.933333, 0.05, 18
31, 1, 1, 1, 0, 0.0975249, 29, 0.935484, 0.05, 18
32, 1, 1, 1, 0, 0.0975249, 30, 0.9375, 0.05, 17
33, 1, 1, 1, 0, 0.0975249, 31, 0.939394, 0.05, 18
34, 1, 1, 1, 0, 0.0975249, 32, 0.941176, 0.05, 18
35, 1, 1, 1, 0, 0.0975249, 33, 0.942857, 0.05, 17
36, 1, 1, 1, 0, 0.0975249, 34, 0.944444, 0.05, 18
37, 1, 1, 1, 0, 0.0975249, 35, 0.945946, 0.05, 20
38, 1, 1, 1, 0, 0.0975249, 36, 0.947368, 0.05, 17
39, 1, 1, 1, 0, 0.0975249, 37, 0.948718, 0.05, 18
40, 1, 1, 1, 0, 0.0975249, 38, 0.95, 0.05, 17
41, 1, 1, 1, 0, 0.0975249, 39, 0.95122, 0.05, 17
42, 1, 1, 1, 0, 0.0975249, 40, 0.952381, 0.05, 17
43, 1, 1, 1, 0, 0.0975249, 41, 0.953488, 0.05, 17
44, 1, 1, 1, 0, 0.0975249, 42, 0.954545, 0.05, 17
45, 1, 1, 1, 0, 0.0975249, 43, 0.955556, 0.05, 18
46, 1, 1, 1, 0, 0.0975249, 44, 0.956522, 0.05, 17
47, 1, 1, 1, 0, 0.0975249, 45, 0.957447, 0.05, 17
48, 1, 1, 1, 0, 0.0975249, 46, 0.958333, 0.05, 18
49, 1, 1, 1, 0, 0.0975249, 47, 0.959184, 0.05, 17
50, 1, 1, 1, 0, 0.0975249, 48, 0.96, 0.05, 18
