cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.12, 6
2, 17, 17, 0, 0, 0.0995, 17, 8.5, 0.12, 20
3, 8, 8, 1, 0, 0.0990025, 25, 8.33333, 0.12, 22
4, 16, 16, 0, 0, 0.0985075, 41, 10.25, 0.12, 22
5, 7, 7, 1, 0, 0.098015, 48, 9.6, 0.12, 27
6, 16, 16, 1, 0, 0.0975249, 64, 10.6667, 0.13, 26
7, 17, 17, 1, 0, 0.0975249, 81, 11.5714, 0.12, 26
8, 17, 17, 1, 0, 0.0975249, 98, 12.25, 0.12, 26
9, 17, 17, 1, 0, 0.0975249, 115, 12.7778, 0.12, 26
10, 17, 17, 1, 0, 0.0975249, 132, 13.2, 0.12, 28
11, 17, 17, 1, 0, 0.0975249, 149, 13.5455, 0.13, 26
12, 17, 17, 1, 0, 0.0975249, 166, 13.8333, 0.12, 26
13, 17, 17, 1, 0, 0.0975249, 183, 14.0769, 0.12, 26
14, 17, 17, 1, 0, 0.0975249, 200, 14.2857, 0.12, 26
15, 17, 17, 1, 0, 0.0975249, 217, 14.4667, 0.12, 26
16, 17, 17, 1, 0, 0.0975249, 234, 14.625, 0.13, 26
17, 17, 17, 1, 0, 0.0975249, 251, 14.7647, 0.12, 26
18, 17, 17, 1, 0, 0.0975249, 268, 14.8889, 0.12, 27
19, 17, 17, 1, 0, 0.0975249, 285, 15, 0.12, 26
20, 17, 17, 1, 0, 0.0975249, 302, 15.1, 0.13, 26
21, 17, 17, 1, 0, 0.0975249, 319, 15.1905, 0.12, 26
22, 17, 17, 1, 0, 0.0975249, 336, 15.2727, 0.12, 26
23, 17, 17, 1, 0, 0.0975249, 353, 15.3478, 0.12, 26
24, 17, 17, 1, 0, 0.0975249, 370, 15.4167, 0.13, 26
25, 17, 17, 1, 0, 0.0975249, 387, 15.48, 0.12, 26
26, 17, 17, 1, 0, 0.0975249, 404, 15.5385, 0.12, 26
27, 17, 17, 1, 0, 0.0975249, 421, 15.5926, 0.13, 27
