cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 0, 0, 0.1, 0, 0, 0.08, 1
2, 0, 0, 1, 0, 0.0995, 0, 0, 0.08, 6
3, 2, 2, 0, 0, 0.0990025, 2, 0.666667, 0.09, 19
4, 0, 0, 1, 0, 0.0985075, 2, 0.5, 0.09, 18
5, 2, 2, 1, 0, 0.098015, 4, 0.8, 0.08, 20
6, 2, 2, 1, 0, 0.0975249, 6, 1, 0.09, 25
7, 2, 2, 1, 0, 0.0975249, 8, 1.14286, 0.09, 25
8, 2, 2, 1, 0, 0.0975249, 10, 1.25, 0.08, 25
9, 2, 2, 1, 0, 0.0975249, 12, 1.33333, 0.09, 24
10, 2, 2, 1, 0, 0.0975249, 14, 1.4, 0.09, 26
11, 2, 2, 1, 0, 0.0975249, 16, 1.45455, 0.08, 25
12, 2, 2, 1, 0, 0.0975249, 18, 1.5, 0.09, 24
13, 2, 2, 1, 0, 0.0975249, 20, 1.53846, 0.09, 25
14, 2, 2, 1, 0, 0.0975249, 22, 1.57143, 0.08, 25
15, 2, 2, 1, 0, 0.0975249, 24, 1.6, 0.09, 24
16, 2, 2, 1, 0, 0.0975249, 26, 1.625, 0.09, 25
17, 2, 2, 1, 0, 0.0975249, 28, 1.64706, 0.09, 25
18, 2, 2, 1, 0, 0.0975249, 30, 1.66667, 0.08, 25
19, 2, 2, 1, 0, 0.0975249, 32, 1.68421, 0.09, 24
20, 2, 2, 1, 0, 0.0975249, 34, 1.7, 0.09, 24
21, 2, 2, 1, 0, 0.0975249, 36, 1.71429, 0.08, 24
22, 2, 2, 1, 0, 0.0975249, 38, 1.72727, 0.09, 24
23, 2, 2, 1, 0, 0.0975249, 40, 1.73913, 0.09, 25
24, 2, 2, 1, 0, 0.0975249, 42, 1.75, 0.08, 25
25, 2, 2, 1, 0, 0.0975249, 44, 1.76, 0.09, 24
26, 2, 2, 1, 0, 0.0975249, 46, 1.76923, 0.09, 25
27, 2, 2, 1, 0, 0.0975249, 48, 1.77778, 0.09, 25
28, 2, 2, 1, 0, 0.0975249, 50, 1.78571, 0.09, 25
29, 2, 2, 1, 0, 0.0975249, 52, 1.7931, 0.09, 25
30, 2, 2, 1, 0, 0.0975249, 54, 1.8, 0.08, 25
31, 2, 2, 1, 0, 0.0975249, 56, 1.80645, 0.08, 25
32, 2, 2, 1, 0, 0.0975249, 58, 1.8125, 0.09, 25
33, 2, 2, 1, 0, 0.0975249, 60, 1.81818, 0.09, 26
34, 2, 2, 1, 0, 0.0975249, 62, 1.82353, 0.08, 25
35, 2, 2, 1, 0, 0.0975249, 64, 1.82857, 0.09, 24
36, 2, 2, 1, 0, 0.0975249, 66, 1.83333, 0.09, 25
37, 2, 2, 1, 0, 0.0975249, 68, 1.83784, 0.08, 27
38, 2, 2, 1, 0, 0.0975249, 70, 1.84211, 0.09, 24
39, 2, 2, 1, 0, 0.0975249, 72, 1.84615, 0.09, 25
40, 2, 2, 1, 0, 0.0975249, 74, 1.85, 0.08, 24
41, 2, 2, 1, 0, 0.0975249, 76, 1.85366, 0.08, 24
42, 2, 2, 1, 0, 0.0975249, 78, 1.85714, 0.09, 26
43, 2, 2, 1, 0, 0.0975249, 80, 1.86047, 0.1, 25
44, 2, 2, 1, 0, 0.0975249, 82, 1.86364, 0.08, 24
45, 2, 2, 1, 0, 0.0975249, 84, 1.86667, 0.09, 24
46, 2, 2, 1, 0, 0.0975249, 86, 1.86957, 0.09, 25
47, 2, 2, 1, 0, 0.0975249, 88, 1.87234, 0.08, 25
48, 2, 2, 1, 0, 0.0975249, 90, 1.875, 0.09, 26
49, 2, 2, 1, 0, 0.0975249, 92, 1.87755, 0.09, 24
50, 2, 2, 1, 0, 0.0975249, 94, 1.88, 0.08, 25
51, 2, 2, 1, 0, 0.0975249, 96, 1.88235, 0.09, 25
